gmdn,emdn,deviceproblem,patientproblem
35039,B0399,A07,F01
35039,B0399,A07,F26
35039,B0399,A09,E24
35039,B0399,A24,E19
35094,C0104020299,A04,E20
35094,C0104020299,A04,E24
35094,C0104020299,A04,F26
35094,C0104020299,A04,F27
35094,C0104020299,A05,E20
35094,C0104020299,A05,F26
35094,C0104020299,A15,E20
35094,C0104020299,A15,E24
35094,C0104020299,A15,F26
35095,L26,A04,E24
35095,L26,A04,F26
35095,L26,A05,E24
35095,L26,A12,E24
35095,L26,A17,E24
35099,C04020201,A07,E24
35099,C04020201,A07,F27
35099,C04020201,A09,E24
35099,C04020201,A09,F26
35099,C04020201,A09,F27
35099,C04020201,A14,E24
35156,L26,A07,F26
35156,L26,A09,E24
35156,L26,A10,E24
35156,L26,A10,F26
35157,B0399,A04,E24
35157,B0399,A04,F26
35157,B0399,A05,E24
35157,B0399,A05,F26
35157,B0399,A15,E24
35157,B0399,A15,F26
35157,B0399,A23,E24
35158,A010505,A02,E24
35158,A010505,A04,E24
35158,A010505,A05,E24
35158,A010505,A06,E24
35158,A010505,A07,E24
35158,A010505,A07,F26
35158,A010505,A09,E24
35158,A010505,A09,F26
35158,A010505,A10,E24
35158,A010505,A12,E24
35158,A010505,A13,E24
35158,A010505,A15,E24
35158,A010505,A19,E24
35162,A019013,A23,E17
35223,C010103,A01,E19
35223,C010103,A01,E24
35223,C010103,A02,E06
35223,C010103,A02,E24
35223,C010103,A02,F26
35223,C010103,A04,E01
35223,C010103,A04,E06
35223,C010103,A04,E07
35223,C010103,A04,E19
35223,C010103,A04,E20
35223,C010103,A04,E21
35223,C010103,A04,E23
35223,C010103,A04,E24
35223,C010103,A04,F26
35223,C010103,A05,E01
35223,C010103,A05,E05
35223,C010103,A05,E06
35223,C010103,A05,E07
35223,C010103,A05,E19
35223,C010103,A05,E20
35223,C010103,A05,E21
35223,C010103,A05,E23
35223,C010103,A05,E24
35223,C010103,A05,F26
35223,C010103,A07,E01
35223,C010103,A07,E02
35223,C010103,A07,E05
35223,C010103,A07,E06
35223,C010103,A07,E07
35223,C010103,A07,E10
35223,C010103,A07,E16
35223,C010103,A07,E19
35223,C010103,A07,E20
35223,C010103,A07,E21
35223,C010103,A07,E23
35223,C010103,A07,E24
35223,C010103,A07,F02
35223,C010103,A07,F26
35223,C010103,A09,E01
35223,C010103,A09,E06
35223,C010103,A09,E07
35223,C010103,A09,E20
35223,C010103,A09,E21
35223,C010103,A09,E23
35223,C010103,A09,E24
35223,C010103,A09,F26
35223,C010103,A12,E24
35223,C010103,A12,F26
35223,C010103,A13,E06
35223,C010103,A13,E24
35223,C010103,A15,E01
35223,C010103,A15,E06
35223,C010103,A15,E07
35223,C010103,A15,E19
35223,C010103,A15,E20
35223,C010103,A15,E21
35223,C010103,A15,E23
35223,C010103,A15,E24
35223,C010103,A15,F26
35223,C010103,A18,E24
35223,C010103,A19,E24
35223,C010103,A19,F26
35223,C010103,A22,E06
35223,C010103,A22,E23
35223,C010103,A23,E24
35223,C010103,A23,F26
35223,C010103,A24,E01
35223,C010103,A24,E03
35223,C010103,A24,E04
35223,C010103,A24,E05
35223,C010103,A24,E06
35223,C010103,A24,E07
35223,C010103,A24,E10
35223,C010103,A24,E17
35223,C010103,A24,E19
35223,C010103,A24,E20
35223,C010103,A24,E21
35223,C010103,A24,E22
35223,C010103,A24,E23
35223,C010103,A24,E24
35223,C010103,A24,F02
35223,C010103,A24,F26
35223,C010103,A25,E24
35223,C010103,A26,E24
35223,C010103,A27,E01
35223,C010103,A27,E06
35223,C010103,A27,E07
35223,C010103,A27,E19
35223,C010103,A27,E23
35223,C010103,A27,E24
35223,C010103,A27,F26
35224,C010103,A02,F27
35224,C010103,A04,E24
35224,C010103,A04,F27
35224,C010103,A05,E24
35224,C010103,A05,F27
35224,C010103,A07,E24
35224,C010103,A07,F27
35224,C010103,A08,E24
35224,C010103,A08,F27
35224,C010103,A09,E24
35224,C010103,A09,F27
